 ,CALANDER,CAMERA,CONTACTS,LOCATION,MICROPHONE,PHONE,SENSOR,SMS,STORAGE,OTHERS,TOTAL
Seychelles_Offline_mappa_Map,0,0,0,1,0,0,0,0,1,0,2
Sexy_Squares,0,0,0,0,0,0,0,0,0,1,1
Sexy_sounds,0,0,0,1,0,0,0,0,0,0,1
Sexy_Soundboard,0,0,0,0,0,1,0,0,0,0,1
Sexy_Sexting_(Flirty_SMS),0,0,0,0,0,0,0,0,0,1,1
Sexy_Wallpapers,0,0,0,0,0,0,0,0,1,0,1
Sexy_Window_Cleaner,0,0,0,0,0,0,0,0,1,0,1
Sexy_Shopping,0,0,0,0,0,1,0,0,1,0,2
Sexy_Sunny_Leone_Adult_Game,0,0,0,0,0,1,0,0,1,0,2
Sexy_Trivia_Game!_Roosevelt,0,0,0,1,0,0,0,0,1,0,2
Sexy_Stripper_HD,0,0,0,0,0,1,0,0,1,0,2
SexyShow(HD),0,0,0,0,0,1,0,0,1,0,2
Sexy_Trivia_Game!_70s_Culture,0,0,0,1,0,0,0,0,1,0,2
Sexy_Slave_Bondage_Girls,0,0,0,0,0,1,0,0,1,0,2
